Microbiota,Disease
Ruminococcus lactaris,Autism
Flavonifractor plautii,Autism
Veillonellaceae,Autism
Collinsella,Autism
Clostridium bolteae,Autism
Clostridium hathewayi,Autism
Alistipes putredinis,Autism
Clostridium clostridioforme,Autism
Alistipes onderdonkii,Autism
Sutterella wadsworthensis,Autism
Clostridium scindens,Autism
Clostridium methylpentosum,Autism
Sutterella stercoricanis,Autism
Mitsuokella,"Autism,Rem sleep behavior disorder"
Roseburia intestinalis,Autism
Ruminococcus albus,Autism
Alistipes indistinctus,Autism
Phascolarctobacterium faecium,Autism
Bacteroides coprocola,"Autism,Parkinson's Disease"
Eubacterium ventriosum,Autism
Eubacterium ruminantium,Autism
Alistipes shahii,"Autism,Parkinson's Disease"
Eubacterium siraeum,Autism
Anaerofilum,Autism
Caloramator,Autism
Akkermansia muciniphila,"Autism,Parkinson's Disease"
Paraclostridium bifermentans,Autism
Desulfovibrio intestinalis,Autism
Bifidobacterium adolescentis,Autism
Prevotellaceae,"Autism,Parkinson's Disease"
Blautia faecis,Autism
Tyzzerella nexilis,Autism
Clostridium innocuum,Autism
Clostridium subterminale,Autism
Eubacterium eligens,Autism
Parabacteroides distasonis,Autism
Prevotella oulorum,Autism
Enterobacter cloacae,Autism
Clostridium tertium,Autism
Fusobacterium,Autism
Peptostreptococcus,Autism
Porphyromonas,Autism
Neisseriaceae,Autism
Mogibacterium,Autism
Ruminococcaceae,"Autism,Chronic fatigue syndrome,Parkinson's Disease"
Stomatobaculum,Autism
Solobacterium,"Autism,Parkinson's Disease"
Actinomyces,"Autism,Parkinson's Disease"
Catonella,Autism
Atopobium,Autism
Corynebacterium,"Autism,Parkinson's Disease"
Kingella,"Autism,Parkinson's Disease"
Parvimonas,Autism
Selenomonas,Autism
Peptococcus,Autism
Alloprevotella,Autism
Tannerella,Autism
Olsenella,Autism
Streptococcus,"Autism,Parkinson's Disease"
Treponema,Autism
Oribacterium,Autism
Rothia,"Autism,Parkinson's Disease"
Lachnoanaerobaculum,Autism
Cardiobacterium,Autism
Butyrivibrio,Autism
Enterococcus faecalis,Chronic fatigue syndrome
Lactonifactor,Chronic fatigue syndrome
Asaccharobacter,Chronic fatigue syndrome
Streptococcus sanguinis,Chronic fatigue syndrome
Bifidobacteriaceae,Chronic fatigue syndrome
Syntrophococcus,Chronic fatigue syndrome
Turicibacter,Chronic fatigue syndrome
Moryella,"Chronic fatigue syndrome,Parkinson's Disease"
Staphylococcus chromogenes,Chronic fatigue syndrome
Ethanoligenens,Chronic fatigue syndrome
Eubacterium,Chronic fatigue syndrome
Ruminococcus,"Chronic fatigue syndrome,Parkinson's Disease"
Desulfovibrionaceae,"Parkinson's Disease,Rem sleep behavior disorder"
Rikenellaceae,Parkinson's Disease
Blautia coccoides,Parkinson's Disease
Coprococcus eutactus,Parkinson's Disease
Butyricicoccus,Parkinson's Disease
Bacteroides,Parkinson's Disease
Lactobacillaceae,Parkinson's Disease
Methanobrevibacter smithii,Parkinson's Disease
Dorea longicatena,Parkinson's Disease
Listeriaceae,Parkinson's Disease
Clostridium saccharolyticum,Parkinson's Disease
Carnobacteriaceae,Parkinson's Disease
Ruminococcus bromii,Parkinson's Disease
Stoquefichus massiliensis,Parkinson's Disease
Bacteroides dorei,Parkinson's Disease
Hyphomicrobiaceae,Parkinson's Disease
Nitrososphaera,Parkinson's Disease
Papillibacter cinnamivorans,Parkinson's Disease
Ralstonia,Parkinson's Disease
Klebsiella,Parkinson's Disease
Gemella,Parkinson's Disease
Bacillaceae,Parkinson's Disease
Sediminibacterium,Parkinson's Disease
Acinetobacter,Parkinson's Disease
Clostridium xivb,"Parkinson's Disease,Rem sleep behavior disorder"
Eubacterium biforme,Parkinson's Disease
Enterococcaceae,Parkinson's Disease
Micrococcaceae,Parkinson's Disease
Verrucomicrobia,Parkinson's Disease
Erysipelotrichia,Parkinson's Disease
Catabacter hongkongensis,Parkinson's Disease
